0,1,2,3,4,5,6,7,8,9,10,TextoStemmed
0.0,abafar#VERB,abafar,VERB,,,,,,{},,abaf
,abafação#NOUN,abafação,NOUN,,,,Type=Derivation,,,abaf,
0.1,abafador#NOUN,abafador,NOUN,,,0.0,Type=Derivation,,{},,abaf
0.2,abafamento#NOUN,abafamento,NOUN,,,0.0,Type=Derivation,,{},,abaf
1.0,abaixar#VERB,abaixar,VERB,,,,,,{},,abaix
,abaixador#NOUN,abaixador,NOUN,,,,Type=Derivation,,,abaix,
1.1,abaixamento#NOUN,abaixamento,NOUN,,,1.0,Type=Derivation,,{},,abaix
1.2,baixa#NOUN,baixa,NOUN,,,1.0,Type=Derivation,,{},,baix
2.0,abalar#VERB,abalar,VERB,,,,,,{},,abal
,abalável#ADJ,abalável,ADJ,,,,Type=Derivation,,,abal,
2.1,abalo#NOUN,abalo,NOUN,,,2.0,Type=Derivation,,{},,abal
3.0,abalroar#VERB,abalroar,VERB,,,,,,{},,abalro
,abalroamento#NOUN,abalroamento,NOUN,,,,Type=Derivation,,,abalro,
3.1,abalroação#NOUN,abalroação,NOUN,,,3.0,Type=Derivation,,{},,abalro
4.0,abandonar#VERB,abandonar,VERB,,,,,,{},,abandon
,abandonável#ADJ,abandonável,ADJ,,,,Type=Derivation,,,abandon,
4.1,abandonador#NOUN,abandonador,NOUN,,,4.0,Type=Derivation,,{},,abandon
4.2,abandono#NOUN,abandono,NOUN,,,4.0,Type=Derivation,,{},,abandon
5.0,abastecer#VERB,abastecer,VERB,,,,,,{},,abastec
5.1,abastecedor#NOUN,abastecedor,NOUN,,,5.0,Type=Derivation,,{},,abastec
5.2,abastecimento#NOUN,abastecimento,NOUN,,,5.0,Type=Derivation,,{},,abastec
6.0,abater#VERB,abater,VERB,,,,,,{},,abat
6.1,abatedor#NOUN,abatedor,NOUN,,,6.0,Type=Derivation,,{},,abat
6.2,abatedouro#NOUN,abatedouro,NOUN,,,6.0,Type=Derivation,,{},,abat
6.3,abatimento#NOUN,abatimento,NOUN,,,6.0,Type=Derivation,,{},,abat
7.0,abdicar#VERB,abdicar,VERB,,,,,,{},,abdic
,abdicável#ADJ,abdicável,ADJ,,,,Type=Derivation,,,abdic,
,abdicante#ADJ,abdicante,ADJ,,,,Type=Derivation,,,abdic,
,abdicador#NOUN,abdicador,NOUN,,,,Type=Derivation,,,abdic,
7.1,abdicação#NOUN,abdicação,NOUN,,,7.0,Type=Derivation,,{},,abdic
8.0,abduzir#VERB,abduzir,VERB,,,,,,{},,abduz
8.1,abdutor#NOUN,abdutor,NOUN,,,8.0,Type=Derivation,,{},,abdu
8.2,abdução#NOUN,abdução,NOUN,,,8.0,Type=Derivation,,{},,abduç
9.0,abjurar#VERB,abjurar,VERB,,,,,,{},,abjur
9.1,abjuração#NOUN,abjuração,NOUN,,,9.0,Type=Derivation,,{},,abjur
10.0,abnegar#VERB,abnegar,VERB,,,,,,{},,abneg
10.1,abnegação#NOUN,abnegação,NOUN,,,10.0,Type=Derivation,,{},,abneg
11.0,abolir#VERB,abolir,VERB,,,,,,{},,abol
,abolicionistamente#ADV,abolicionistamente,ADV,,,,Type=Derivation,,,abol,
11.1,abolidor#NOUN,abolidor,NOUN,,,11.0,Type=Derivation,,{},,abol
11.2,abolimento#NOUN,abolimento,NOUN,,,11.0,Type=Derivation,,{},,abol
11.3,abolição#NOUN,abolição,NOUN,,,11.0,Type=Derivation,,{},,abol
